Molecule,Route,Technical Specifications,Level 1,Level 2,Level 3,Level 4,ATC Code
Rifampicin,Oral:,600 mg Tablet/Capsule *Primary Health Care,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIMYCOBACTERIALS,DRUGS FOR TREATMENT OF TUBERCULOSIS,Antibiotics,J04AB02 
Rifampicin,Oral:,200 mg/5 mL Suspension in 120 mL *Primary Health Care,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIMYCOBACTERIALS,DRUGS FOR TREATMENT OF TUBERCULOSIS,Antibiotics,J04AB02 
Rifapentine,Oral:,150 mg Film-coated tablet ,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIMYCOBACTERIALS,DRUGS FOR TREATMENT OF TUBERCULOSIS,Antibiotics,J04AB05 
Rifaximin,Oral:,200 mg Tablet ,ALIMENTARY TRACT AND METABOLISM,"ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS",INTESTINAL ANTIINFECTIVES,Antibiotics,A07AA11 
Rilpivirine,Oral:,25 mg (as Hydrochloride) Tablet ,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIVIRALS FOR SYSTEMIC USE,DIRECT ACTING ANTIVIRALS,Non-nucleoside reverse transcriptase inhibitors,J05AG05 
Risperidone,Oral:,1 mg Tablet *Primary Health Care,NERVOUS SYSTEM,PSYCHOLEPTICS,ANTIPSYCHOTICS,Other antipsychotics,N05AX08 
Risperidone,Oral:,2 mg Tablet *Primary Health Care,NERVOUS SYSTEM,PSYCHOLEPTICS,ANTIPSYCHOTICS,Other antipsychotics,N05AX08 
Risperidone,Oral:,3 mg Tablet *Primary Health Care,NERVOUS SYSTEM,PSYCHOLEPTICS,ANTIPSYCHOTICS,Other antipsychotics,N05AX08 
Risperidone,Oral:,4 mg Tablet *Primary Health Care,NERVOUS SYSTEM,PSYCHOLEPTICS,ANTIPSYCHOTICS,Other antipsychotics,N05AX08 
Risperidone,Oral:,1 mg Orodispersible tablet (ODT) *Primary Health Care,NERVOUS SYSTEM,PSYCHOLEPTICS,ANTIPSYCHOTICS,Other antipsychotics,N05AX08 
Risperidone,Oral:,2 mg Orodispersible tablet (ODT) *Primary Health Care,NERVOUS SYSTEM,PSYCHOLEPTICS,ANTIPSYCHOTICS,Other antipsychotics,N05AX08 
